Bay;Row;Tier;Area code;Container number;Container type;Description
01;01;01;WH1;YPIU5275047;0;Electronics
01;01;02;WH1;RSBU8373287;3;Hazardous Materials
01;02;01;WH2;DSAU0076574;1;Clothing
01;02;02;WH2;BDNU4520823;2;Furniture
01;03;01;YARD01;TZFU7562040;4;Oversized Equipment
01;03;02;YARD01;NREU9304938;0;Electronics
02;01;01;YARD02;VUBU1205079;1;Clothing
02;01;02;YARD02;TAQU1394260;2;Furniture
02;02;01;WH1;YNPU1088676;3;Hazardous Materials
02;02;02;WH1;JZSU1323970;0;Electronics
02;03;01;WH2;GULU3491021;4;Oversized Equipment
02;03;02;WH2;UTBU6500366;1;Clothing
03;01;01;YARD01;LMCU5377096;2;Furniture
03;01;02;YARD01;KCJU9660174;0;Electronics
03;02;01;YARD02;DBKU9262411;3;Hazardous Materials
03;02;02;YARD02;OKBU7285330;4;Oversized Equipment
03;03;01;WH1;WPIU9931476;1;Clothing
03;03;02;WH1;GJHU3850190;2;Furniture
04;01;01;WH2;VWZU3524985;0;Electronics
04;01;02;WH2;IWYU3800350;3;Hazardous Materials
